step_id;step_url;difficulty;discrimination
1268657;https://stepik.org/lesson/345697/step/3;0,764923077;0,536335858
1269896;https://stepik.org/lesson/345697/step/4;0,727272727;0,654993747
1269902;https://stepik.org/lesson/345697/step/5;0,628030303;0,62882491
1269905;https://stepik.org/lesson/345697/step/6;0,46780303;0,476710509
1269910;https://stepik.org/lesson/345697/step/7;0,627014582;0,592516425
1269914;https://stepik.org/lesson/345697/step/8;0,483114447;0,471419467
1269922;https://stepik.org/lesson/345697/step/9;0,544757033;0,471838678
1269927;https://stepik.org/lesson/345697/step/10;0,463369963;0,405853522
1271028;https://stepik.org/lesson/345698/step/3;0,428140704;0,397519661
1271033;https://stepik.org/lesson/345698/step/4;0,473972603;0,351074432
1271039;https://stepik.org/lesson/345698/step/5;0,427;0,353258145
1271046;https://stepik.org/lesson/345698/step/6;0,512843224;0,398844673
1271063;https://stepik.org/lesson/345698/step/7;0,48800738;0,381386393
1271070;https://stepik.org/lesson/345698/step/8;0,54327335;0,447173489
1271074;https://stepik.org/lesson/345698/step/9;0,347027027;0,177960526
1271099;https://stepik.org/lesson/345699/step/3;0,327944573;0,28958079
1271111;https://stepik.org/lesson/345699/step/4;0,517361111;0,326062468
1271116;https://stepik.org/lesson/345699/step/5;0,092647059;0,107291776
1271131;https://stepik.org/lesson/345699/step/6;0,130311615;0,144736842
1271134;https://stepik.org/lesson/345699/step/7;0,52514919;0,2827555
1271141;https://stepik.org/lesson/345699/step/8;0,475364964;0,264445837
1272269;https://stepik.org/lesson/345700/step/3;0,381799163;0,211786114
1272292;https://stepik.org/lesson/345700/step/4;0,373759647;0,30061998
1272294;https://stepik.org/lesson/345700/step/5;0,205645161;0,248322148
1272296;https://stepik.org/lesson/345700/step/6;0,431683168;0,297297297
1272300;https://stepik.org/lesson/345700/step/7;0,553807947;0,377372053
1272304;https://stepik.org/lesson/345700/step/8;0,278325123;0,209459459
1272309;https://stepik.org/lesson/345700/step/9;0,313238771;0,232776089
1272312;https://stepik.org/lesson/345700/step/10;0,179206566;0,176870748
1272315;https://stepik.org/lesson/345700/step/11;0,337485844;0,232776089
1272319;https://stepik.org/lesson/345700/step/12;0,219448095;0,183673469
1272323;https://stepik.org/lesson/345700/step/13;0,105497771;0,137537994
1272327;https://stepik.org/lesson/345700/step/14;0,573624595;0,335179751
1272330;https://stepik.org/lesson/345700/step/15;0,27;0,207009618
1272341;https://stepik.org/lesson/345700/step/16;0,143061516;0,150684932
1272050;https://stepik.org/lesson/348201/step/2;0;0,348773329
1280921;https://stepik.org/lesson/345701/step/3;0,484057971;0,12037037
1281631;https://stepik.org/lesson/345701/step/4;0,255910987;0,094339623
1281634;https://stepik.org/lesson/345701/step/5;0,550883095;0,113207547
1281638;https://stepik.org/lesson/345701/step/6;0,407119021;0,122641509
1281651;https://stepik.org/lesson/345701/step/7;0,546621044;0,141509434
1281667;https://stepik.org/lesson/345701/step/8;0,316195373;0,094339623
1281669;https://stepik.org/lesson/345701/step/9;0,103852596;0,08490566
1281694;https://stepik.org/lesson/345704/step/3;0,518953069;0,113207547
1281696;https://stepik.org/lesson/345704/step/4;0,274215553;0,103773585
1281697;https://stepik.org/lesson/345704/step/5;0,138263666;0,066037736
1281699;https://stepik.org/lesson/345704/step/6;0,46506986;0,113207547
1281701;https://stepik.org/lesson/345704/step/7;0,25034965;0,075471698
1281702;https://stepik.org/lesson/345704/step/8;0,390103567;0,122641509
1281706;https://stepik.org/lesson/345704/step/9;0,529049296;0,132075472
1281712;https://stepik.org/lesson/345715/step/3;0,198496241;0,093457944
1281714;https://stepik.org/lesson/345715/step/4;0,42139738;0,114285714
1281717;https://stepik.org/lesson/345715/step/5;0,234782609;0,114285714
1281719;https://stepik.org/lesson/345715/step/6;0,562189055;0,140186916
1281721;https://stepik.org/lesson/345715/step/7;0,17057903;0,098059299
1281725;https://stepik.org/lesson/345715/step/8;0,593050193;0,141509434
1281726;https://stepik.org/lesson/345715/step/9;0,517743403;0,113207547
1281727;https://stepik.org/lesson/345715/step/10;0,433476395;0,122641509
1281730;https://stepik.org/lesson/345715/step/11;0,455578512;0,135795148
1282411;https://stepik.org/lesson/349897/step/2;0,008928571;0,290127758
