user_id,target,steps_tried,correct,wrong,comments
2509356,True,49,47,14,4
21119312,True,43,43,5,4
36382609,False,22,22,5,3
60348880,True,76,67,36,8
87284402,True,7,7,0,5
137873298,True,42,42,0,1
139781384,True,43,43,6,1
162067493,True,130,122,132,15
164221829,True,42,36,27,3
199312456,False,41,38,32,68
207280269,True,42,38,21,1
220677450,False,16,21,7,15
220784434,True,13,7,9,1
223287050,True,22,16,20,2
223304315,True,43,35,49,1
223324773,True,7,6,1,3
223369956,True,12,10,14,2
223399185,True,42,34,31,3
223468293,True,7,7,0,5
223620626,True,43,33,46,1
224028983,True,136,135,28,1
224029222,True,22,15,24,2
224036431,False,22,16,21,1
224047062,True,42,34,41,6
224071354,True,42,21,77,1
224082632,True,76,75,34,1
224103594,True,43,34,46,1
224160055,False,7,7,0,1
224173725,True,42,41,15,3
224247258,True,42,42,25,2
224359878,True,107,106,60,3
224399085,True,68,63,76,1
224831012,False,14,10,15,1
225175122,True,18,11,16,13
225476669,True,41,34,39,1
225571097,False,10,7,8,1
225725634,True,76,76,45,2
225859585,True,43,24,62,1
225913771,False,28,21,34,6
225980158,True,42,35,34,1
226355343,True,76,67,80,2
226544571,True,43,43,2,2
226969415,True,26,18,34,2
227798074,True,75,69,62,2
228063571,True,77,75,43,2
229192270,False,75,61,87,1
229521602,True,42,41,14,1
229555330,True,75,69,105,1
229562913,True,42,41,31,2
229685400,True,9,7,6,3
229783448,True,108,105,20,1
230343965,True,77,75,27,1
230408877,True,108,104,69,3
230437119,True,77,70,100,4
231152736,True,76,76,44,1
231165945,True,76,72,64,1
231167612,True,77,76,33,2
231293162,True,75,65,56,4
232461240,False,10,7,9,1
232955829,False,41,38,29,1
233007493,True,106,102,24,2
233243350,True,106,93,87,1
233482512,True,106,99,87,1
233496233,True,75,75,24,4
233501061,True,41,39,21,1
233504267,True,106,100,63,1
233507015,True,42,45,5,2
233524293,True,109,106,69,2
233530343,True,106,101,96,1
233582753,True,109,86,151,4
233664901,False,29,27,7,2
233665008,False,75,74,29,4
233672153,True,106,98,111,2
233678164,True,109,93,91,8
233681004,True,24,22,11,13
233689219,True,66,65,23,1
233701593,True,74,71,58,6
233704434,True,108,94,113,3
233715572,True,108,105,64,4
233731165,True,76,64,77,4
233754600,False,43,40,21,2
233758907,True,92,91,32,6
233781517,True,76,76,49,5
233800870,True,15,7,24,4
233844247,True,77,76,17,2
233857762,True,43,37,41,1
233921688,True,75,74,29,26
233924936,True,75,74,21,24
233950178,True,76,73,18,6
234216819,True,109,109,68,7
234273681,True,7,7,0,1
234314853,True,129,128,11,1
234363318,True,109,108,58,1
234367972,True,77,73,39,5
234486310,True,107,106,8,1
234545400,True,109,100,86,1
235144753,True,109,106,107,2
235145507,True,106,102,62,1
235153934,True,106,104,64,1
235282083,True,75,67,37,1
235331030,True,109,96,129,11
235365797,True,107,107,33,1
235383548,True,62,62,54,1
235412679,True,43,37,27,1
235418255,True,109,108,56,4
235867964,True,106,93,139,1
235998299,True,109,87,168,6
236024966,True,42,41,9,1
239357960,True,106,105,44,1
243339085,True,42,38,25,1
246170280,True,136,126,80,3
247453078,True,135,105,180,1
248175317,True,140,130,110,2
248377729,False,59,56,34,1
250206239,False,9,7,6,2
250394844,False,42,42,7,1
250599774,False,53,50,32,1
250838768,True,139,139,99,1
