user_id,target,steps_tried,correct,wrong
326719,True,106,104,40
1635722,False,39,34,17
2258383,False,8,7,3
2509356,True,49,47,14
15412179,True,140,140,75
15902471,True,90,90,48
16867747,False,15,15,3
19553063,False,15,15,10
21119312,True,43,43,5
28686869,True,42,38,37
31945815,False,9,8,1
33509488,False,7,7,0
34032764,False,7,7,0
35430391,False,5,5,0
36382609,False,22,22,5
36845214,True,12,10,7
36867775,False,7,6,1
37758613,False,8,8,1
40290577,False,51,51,29
40816926,False,7,7,0
41303266,True,106,104,90
41483840,True,106,100,73
41982891,True,16,14,3
47914278,True,42,37,36
49787385,False,22,22,6
56714914,False,4,4,0
58680114,True,136,124,109
59311452,True,42,42,19
60348880,True,76,67,36
61561056,True,42,41,9
62674236,False,42,41,18
62817801,True,97,94,66
63586601,False,16,14,15
65025068,True,43,43,18
72336048,False,7,7,0
74746036,True,22,18,19
75164320,False,33,31,27
75818813,False,15,9,19
80328353,False,7,7,0
87284402,True,7,7,0
100762891,True,138,131,88
108682911,False,7,7,0
110563773,False,1,1,0
115363140,True,106,93,86
118797607,False,7,7,0
119087754,False,42,41,31
123821339,False,7,7,0
127050996,False,9,9,4
131920511,False,42,42,20
137207013,False,42,39,20
137873298,True,42,42,0
139781384,True,43,43,6
140977597,False,75,70,73
142964868,False,7,7,0
143407031,False,9,7,4
143901885,True,75,73,29
148535748,True,7,7,0
152710986,False,7,7,0
155533322,False,7,7,0
160967866,True,77,76,49
162067493,True,130,122,132
164221829,True,42,36,27
176761980,True,130,130,112
185518057,True,42,41,8
187664729,False,3,3,0
197090564,False,43,40,22
197961728,False,8,7,3
199255259,True,43,42,18
199312456,False,41,38,32
203255151,False,7,7,0
204261170,False,1,1,0
206443539,True,43,41,24
207109051,True,129,119,134
207191392,True,42,41,18
207192738,True,7,7,0
207199940,False,8,7,1
207280269,True,42,38,21
207882398,True,42,35,37
207915705,True,75,74,19
210228698,True,75,74,5
213616206,True,60,60,37
213726762,True,43,42,8
216490261,False,7,7,0
218226440,False,1,1,0
219738743,False,43,42,4
220065545,True,28,26,12
220542888,False,7,7,0
220677450,False,16,21,7
220784434,True,13,7,9
220849933,False,15,11,16
221419910,False,10,3,11
221693437,True,75,74,30
223158207,False,7,4,3
223167579,True,31,24,35
223176788,False,19,14,24
223256400,False,42,29,42
223258735,True,43,40,38
223258801,True,42,38,29
223263276,False,8,7,12
223287050,True,22,16,20
223289941,True,42,36,28
223290069,True,42,42,23
223293291,False,14,9,10
223297370,True,43,43,12
223304315,True,43,35,49
223317806,True,42,38,30
223320581,False,42,37,42
223324773,True,7,6,1
223324861,True,41,39,23
223325008,True,7,6,1
223325563,False,8,5,9
223325675,True,43,38,14
223328747,True,10,8,7
223328749,True,42,39,16
223329885,True,7,5,2
223339599,True,42,36,34
223341325,True,43,37,41
223344972,True,75,64,62
223349899,False,43,33,54
223353477,False,42,39,19
223357741,False,27,20,25
